,product,date,region,sales
8793,pink morsel,2018-12-17,south,$1527.00
8794,pink morsel,2018-12-17,east,$1626.00
8795,pink morsel,2018-12-17,west,$1716.00
8820,pink morsel,2018-12-18,north,$1755.00
8821,pink morsel,2018-12-18,south,$1755.00
8822,pink morsel,2018-12-18,east,$1605.00
8823,pink morsel,2018-12-18,west,$1779.00
8848,pink morsel,2018-12-19,north,$1566.00
8849,pink morsel,2018-12-19,south,$1566.00
8850,pink morsel,2018-12-19,east,$1797.00
8851,pink morsel,2018-12-19,west,$1770.00
8876,pink morsel,2018-12-20,north,$1731.00
8877,pink morsel,2018-12-20,south,$1551.00
8878,pink morsel,2018-12-20,east,$1767.00
8879,pink morsel,2018-12-20,west,$1626.00
8904,pink morsel,2018-12-21,north,$1659.00
8905,pink morsel,2018-12-21,south,$1710.00
8906,pink morsel,2018-12-21,east,$1542.00
8907,pink morsel,2018-12-21,west,$1569.00
8932,pink morsel,2018-12-22,north,$1776.00
8933,pink morsel,2018-12-22,south,$1578.00
8934,pink morsel,2018-12-22,east,$1668.00
8935,pink morsel,2018-12-22,west,$1527.00
8960,pink morsel,2018-12-23,north,$1770.00
8961,pink morsel,2018-12-23,south,$1623.00
8962,pink morsel,2018-12-23,east,$1710.00
8963,pink morsel,2018-12-23,west,$1731.00
8988,pink morsel,2018-12-24,north,$1740.00
8989,pink morsel,2018-12-24,south,$1632.00
8990,pink morsel,2018-12-24,east,$1719.00
8991,pink morsel,2018-12-24,west,$1500.00
9016,pink morsel,2018-12-25,north,$1512.00
9017,pink morsel,2018-12-25,south,$1605.00
9018,pink morsel,2018-12-25,east,$1623.00
9019,pink morsel,2018-12-25,west,$1533.00
9044,pink morsel,2018-12-26,north,$1683.00
9045,pink morsel,2018-12-26,south,$1734.00
9046,pink morsel,2018-12-26,east,$1545.00
9047,pink morsel,2018-12-26,west,$1587.00
9072,pink morsel,2018-12-27,north,$1578.00
9073,pink morsel,2018-12-27,south,$1650.00
9074,pink morsel,2018-12-27,east,$1632.00
9075,pink morsel,2018-12-27,west,$1713.00
9100,pink morsel,2018-12-28,north,$1650.00
9101,pink morsel,2018-12-28,south,$1794.00
9102,pink morsel,2018-12-28,east,$1764.00
9103,pink morsel,2018-12-28,west,$1797.00
9128,pink morsel,2018-12-29,north,$1626.00
9129,pink morsel,2018-12-29,south,$1794.00
9130,pink morsel,2018-12-29,east,$1695.00
9131,pink morsel,2018-12-29,west,$1740.00
9156,pink morsel,2018-12-30,north,$1758.00
9157,pink morsel,2018-12-30,south,$1785.00
9158,pink morsel,2018-12-30,east,$1599.00
9159,pink morsel,2018-12-30,west,$1689.00
9184,pink morsel,2018-12-31,north,$1527.00
9185,pink morsel,2018-12-31,south,$1710.00
9186,pink morsel,2018-12-31,east,$1590.00
9187,pink morsel,2018-12-31,west,$1653.00
9212,pink morsel,2019-01-01,north,$1518.00
9213,pink morsel,2019-01-01,south,$1632.00
9214,pink morsel,2019-01-01,east,$1755.00
9215,pink morsel,2019-01-01,west,$1551.00
9240,pink morsel,2019-01-02,north,$1767.00
9241,pink morsel,2019-01-02,south,$1605.00
9242,pink morsel,2019-01-02,east,$1692.00
9243,pink morsel,2019-01-02,west,$1794.00
9268,pink morsel,2019-01-03,north,$1695.00
9269,pink morsel,2019-01-03,south,$1737.00
9270,pink morsel,2019-01-03,east,$1575.00
9271,pink morsel,2019-01-03,west,$1509.00
9296,pink morsel,2019-01-04,north,$1590.00
9297,pink morsel,2019-01-04,south,$1500.00
9298,pink morsel,2019-01-04,east,$1590.00
9299,pink morsel,2019-01-04,west,$1638.00
9324,pink morsel,2019-01-05,north,$1761.00
9325,pink morsel,2019-01-05,south,$1590.00
9326,pink morsel,2019-01-05,east,$1725.00
9327,pink morsel,2019-01-05,west,$1551.00
9352,pink morsel,2019-01-06,north,$1644.00
9353,pink morsel,2019-01-06,south,$1779.00
9354,pink morsel,2019-01-06,east,$1794.00
9355,pink morsel,2019-01-06,west,$1638.00
9380,pink morsel,2019-01-07,north,$1644.00
9381,pink morsel,2019-01-07,south,$1647.00
9382,pink morsel,2019-01-07,east,$1692.00
9383,pink morsel,2019-01-07,west,$1623.00
9408,pink morsel,2019-01-08,north,$1722.00
9409,pink morsel,2019-01-08,south,$1551.00
9410,pink morsel,2019-01-08,east,$1731.00
9411,pink morsel,2019-01-08,west,$1701.00
9436,pink morsel,2019-01-09,north,$1500.00
9437,pink morsel,2019-01-09,south,$1764.00
9438,pink morsel,2019-01-09,east,$1764.00
9439,pink morsel,2019-01-09,west,$1635.00
9464,pink morsel,2019-01-10,north,$1767.00
9465,pink morsel,2019-01-10,south,$1551.00
9466,pink morsel,2019-01-10,east,$1512.00
9467,pink morsel,2019-01-10,west,$1686.00
9492,pink morsel,2019-01-11,north,$1662.00
9493,pink morsel,2019-01-11,south,$1512.00
9494,pink morsel,2019-01-11,east,$1608.00
9495,pink morsel,2019-01-11,west,$1611.00
9520,pink morsel,2019-01-12,north,$1566.00
9521,pink morsel,2019-01-12,south,$1773.00
9522,pink morsel,2019-01-12,east,$1707.00
9523,pink morsel,2019-01-12,west,$1752.00
9548,pink morsel,2019-01-13,north,$1551.00
9549,pink morsel,2019-01-13,south,$1503.00
9550,pink morsel,2019-01-13,east,$1536.00
9551,pink morsel,2019-01-13,west,$1728.00
9576,pink morsel,2019-01-14,north,$1692.00
9577,pink morsel,2019-01-14,south,$1521.00
9578,pink morsel,2019-01-14,east,$1698.00
9579,pink morsel,2019-01-14,west,$1791.00
9604,pink morsel,2019-01-15,north,$1605.00
9605,pink morsel,2019-01-15,south,$1761.00
9606,pink morsel,2019-01-15,east,$1617.00
9607,pink morsel,2019-01-15,west,$1503.00
9632,pink morsel,2019-01-16,north,$1548.00
9633,pink morsel,2019-01-16,south,$1734.00
9634,pink morsel,2019-01-16,east,$1506.00
9635,pink morsel,2019-01-16,west,$1533.00
9660,pink morsel,2019-01-17,north,$1590.00
9661,pink morsel,2019-01-17,south,$1707.00
9662,pink morsel,2019-01-17,east,$1509.00
9663,pink morsel,2019-01-17,west,$1653.00
9688,pink morsel,2019-01-18,north,$1572.00
9689,pink morsel,2019-01-18,south,$1563.00
9690,pink morsel,2019-01-18,east,$1635.00
9691,pink morsel,2019-01-18,west,$1734.00
9716,pink morsel,2019-01-19,north,$1587.00
9717,pink morsel,2019-01-19,south,$1506.00
9718,pink morsel,2019-01-19,east,$1689.00
9719,pink morsel,2019-01-19,west,$1701.00
9744,pink morsel,2019-01-20,north,$1707.00
9745,pink morsel,2019-01-20,south,$1557.00
9746,pink morsel,2019-01-20,east,$1722.00
9747,pink morsel,2019-01-20,west,$1629.00
9772,pink morsel,2019-01-21,north,$1611.00
9773,pink morsel,2019-01-21,south,$1515.00
9774,pink morsel,2019-01-21,east,$1614.00
9775,pink morsel,2019-01-21,west,$1593.00
9800,pink morsel,2019-01-22,north,$1719.00
9801,pink morsel,2019-01-22,south,$1506.00
9802,pink morsel,2019-01-22,east,$1794.00
9803,pink morsel,2019-01-22,west,$1731.00
9828,pink morsel,2019-01-23,north,$1662.00
9829,pink morsel,2019-01-23,south,$1728.00
9830,pink morsel,2019-01-23,east,$1563.00
9831,pink morsel,2019-01-23,west,$1662.00
9856,pink morsel,2019-01-24,north,$1647.00
9857,pink morsel,2019-01-24,south,$1638.00
9858,pink morsel,2019-01-24,east,$1557.00
9859,pink morsel,2019-01-24,west,$1518.00
9884,pink morsel,2019-01-25,north,$1560.00
9885,pink morsel,2019-01-25,south,$1656.00
9886,pink morsel,2019-01-25,east,$1707.00
9887,pink morsel,2019-01-25,west,$1767.00
9912,pink morsel,2019-01-26,north,$1671.00
9913,pink morsel,2019-01-26,south,$1686.00
9914,pink morsel,2019-01-26,east,$1653.00
9915,pink morsel,2019-01-26,west,$1647.00
9940,pink morsel,2019-01-27,north,$1524.00
9941,pink morsel,2019-01-27,south,$1503.00
9942,pink morsel,2019-01-27,east,$1533.00
9943,pink morsel,2019-01-27,west,$1785.00
9968,pink morsel,2019-01-28,north,$1731.00
9969,pink morsel,2019-01-28,south,$1782.00
9970,pink morsel,2019-01-28,east,$1560.00
9971,pink morsel,2019-01-28,west,$1782.00
9996,pink morsel,2019-01-29,north,$1500.00
9997,pink morsel,2019-01-29,south,$1728.00
9998,pink morsel,2019-01-29,east,$1605.00
9999,pink morsel,2019-01-29,west,$1614.00
10024,pink morsel,2019-01-30,north,$1782.00
10025,pink morsel,2019-01-30,south,$1638.00
10026,pink morsel,2019-01-30,east,$1797.00
10027,pink morsel,2019-01-30,west,$1641.00
10052,pink morsel,2019-01-31,north,$1650.00
10053,pink morsel,2019-01-31,south,$1536.00
10054,pink morsel,2019-01-31,east,$1599.00
10055,pink morsel,2019-01-31,west,$1740.00
10080,pink morsel,2019-02-01,north,$1749.00
10081,pink morsel,2019-02-01,south,$1581.00
10082,pink morsel,2019-02-01,east,$1662.00
10083,pink morsel,2019-02-01,west,$1509.00
10108,pink morsel,2019-02-02,north,$1596.00
10109,pink morsel,2019-02-02,south,$1638.00
10110,pink morsel,2019-02-02,east,$1746.00
10111,pink morsel,2019-02-02,west,$1611.00
10136,pink morsel,2019-02-03,north,$1602.00
10137,pink morsel,2019-02-03,south,$1722.00
10138,pink morsel,2019-02-03,east,$1734.00
10139,pink morsel,2019-02-03,west,$1749.00
10164,pink morsel,2019-02-04,north,$1548.00
10165,pink morsel,2019-02-04,south,$1647.00
10166,pink morsel,2019-02-04,east,$1560.00
10167,pink morsel,2019-02-04,west,$1542.00
10192,pink morsel,2019-02-05,north,$1617.00
10193,pink morsel,2019-02-05,south,$1659.00
10194,pink morsel,2019-02-05,east,$1674.00
10195,pink morsel,2019-02-05,west,$1524.00
10220,pink morsel,2019-02-06,north,$1551.00
10221,pink morsel,2019-02-06,south,$1722.00
10222,pink morsel,2019-02-06,east,$1563.00
10223,pink morsel,2019-02-06,west,$1692.00
10248,pink morsel,2019-02-07,north,$1734.00
10249,pink morsel,2019-02-07,south,$1584.00
10250,pink morsel,2019-02-07,east,$1662.00
10251,pink morsel,2019-02-07,west,$1545.00
10276,pink morsel,2019-02-08,north,$1662.00
10277,pink morsel,2019-02-08,south,$1614.00
10278,pink morsel,2019-02-08,east,$1719.00
10279,pink morsel,2019-02-08,west,$1788.00
10304,pink morsel,2019-02-09,north,$1779.00
10305,pink morsel,2019-02-09,south,$1665.00
10306,pink morsel,2019-02-09,east,$1605.00
10307,pink morsel,2019-02-09,west,$1641.00
10332,pink morsel,2019-02-10,north,$1725.00
10333,pink morsel,2019-02-10,south,$1611.00
10334,pink morsel,2019-02-10,east,$1560.00
10335,pink morsel,2019-02-10,west,$1575.00
10360,pink morsel,2019-02-11,north,$1563.00
10361,pink morsel,2019-02-11,south,$1773.00
10362,pink morsel,2019-02-11,east,$1536.00
10363,pink morsel,2019-02-11,west,$1551.00
10388,pink morsel,2019-02-12,north,$1572.00
10389,pink morsel,2019-02-12,south,$1608.00
10390,pink morsel,2019-02-12,east,$1752.00
10391,pink morsel,2019-02-12,west,$1734.00
10416,pink morsel,2019-02-13,north,$1686.00
10417,pink morsel,2019-02-13,south,$1782.00
10418,pink morsel,2019-02-13,east,$1500.00
10419,pink morsel,2019-02-13,west,$1731.00
10444,pink morsel,2019-02-14,north,$1725.00
10445,pink morsel,2019-02-14,south,$1578.00
10446,pink morsel,2019-02-14,east,$1560.00
10447,pink morsel,2019-02-14,west,$1644.00
10472,pink morsel,2019-02-15,north,$1566.00
10473,pink morsel,2019-02-15,south,$1584.00
10474,pink morsel,2019-02-15,east,$1695.00
10475,pink morsel,2019-02-15,west,$1734.00
10500,pink morsel,2019-02-16,north,$1794.00
10501,pink morsel,2019-02-16,south,$1731.00
10502,pink morsel,2019-02-16,east,$1674.00
10503,pink morsel,2019-02-16,west,$1599.00
10528,pink morsel,2019-02-17,north,$1512.00
10529,pink morsel,2019-02-17,south,$1653.00
10530,pink morsel,2019-02-17,east,$1722.00
10531,pink morsel,2019-02-17,west,$1641.00
10556,pink morsel,2019-02-18,north,$1695.00
10557,pink morsel,2019-02-18,south,$1749.00
10558,pink morsel,2019-02-18,east,$1728.00
10559,pink morsel,2019-02-18,west,$1764.00
10584,pink morsel,2019-02-19,north,$1716.00
10585,pink morsel,2019-02-19,south,$1599.00
10586,pink morsel,2019-02-19,east,$1596.00
10587,pink morsel,2019-02-19,west,$1644.00
10612,pink morsel,2019-02-20,north,$1740.00
10613,pink morsel,2019-02-20,south,$1641.00
10614,pink morsel,2019-02-20,east,$1566.00
10615,pink morsel,2019-02-20,west,$1656.00
10640,pink morsel,2019-02-21,north,$1599.00
10641,pink morsel,2019-02-21,south,$1725.00
10642,pink morsel,2019-02-21,east,$1731.00
10643,pink morsel,2019-02-21,west,$1719.00
10668,pink morsel,2019-02-22,north,$1770.00
10669,pink morsel,2019-02-22,south,$1794.00
10670,pink morsel,2019-02-22,east,$1725.00
10671,pink morsel,2019-02-22,west,$1713.00
10696,pink morsel,2019-02-23,north,$1599.00
10697,pink morsel,2019-02-23,south,$1743.00
10698,pink morsel,2019-02-23,east,$1518.00
10699,pink morsel,2019-02-23,west,$1614.00
10724,pink morsel,2019-02-24,north,$1692.00
10725,pink morsel,2019-02-24,south,$1755.00
10726,pink morsel,2019-02-24,east,$1653.00
10727,pink morsel,2019-02-24,west,$1524.00
10752,pink morsel,2019-02-25,north,$1635.00
10753,pink morsel,2019-02-25,south,$1734.00
10754,pink morsel,2019-02-25,east,$1713.00
10755,pink morsel,2019-02-25,west,$1578.00
10780,pink morsel,2019-02-26,north,$1566.00
10781,pink morsel,2019-02-26,south,$1653.00
10782,pink morsel,2019-02-26,east,$1506.00
10783,pink morsel,2019-02-26,west,$1656.00
10808,pink morsel,2019-02-27,north,$1593.00
10809,pink morsel,2019-02-27,south,$1545.00
10810,pink morsel,2019-02-27,east,$1734.00
10811,pink morsel,2019-02-27,west,$1635.00
10836,pink morsel,2019-02-28,north,$1710.00
10837,pink morsel,2019-02-28,south,$1569.00
10838,pink morsel,2019-02-28,east,$1731.00
10839,pink morsel,2019-02-28,west,$1599.00
10864,pink morsel,2019-03-01,north,$1593.00
10865,pink morsel,2019-03-01,south,$1707.00
10866,pink morsel,2019-03-01,east,$1638.00
10867,pink morsel,2019-03-01,west,$1539.00
10892,pink morsel,2019-03-02,north,$1782.00
10893,pink morsel,2019-03-02,south,$1794.00
10894,pink morsel,2019-03-02,east,$1608.00
10895,pink morsel,2019-03-02,west,$1689.00
10920,pink morsel,2019-03-03,north,$1698.00
10921,pink morsel,2019-03-03,south,$1518.00
10922,pink morsel,2019-03-03,east,$1593.00
10923,pink morsel,2019-03-03,west,$1611.00
10948,pink morsel,2019-03-04,north,$1587.00
10949,pink morsel,2019-03-04,south,$1686.00
10950,pink morsel,2019-03-04,east,$1518.00
10951,pink morsel,2019-03-04,west,$1632.00
10976,pink morsel,2019-03-05,north,$1566.00
10977,pink morsel,2019-03-05,south,$1569.00
10978,pink morsel,2019-03-05,east,$1743.00
10979,pink morsel,2019-03-05,west,$1557.00
11004,pink morsel,2019-03-06,north,$1746.00
11005,pink morsel,2019-03-06,south,$1662.00
11006,pink morsel,2019-03-06,east,$1674.00
11007,pink morsel,2019-03-06,west,$1608.00
11032,pink morsel,2019-03-07,north,$1551.00
11033,pink morsel,2019-03-07,south,$1581.00
11034,pink morsel,2019-03-07,east,$1560.00
11035,pink morsel,2019-03-07,west,$1674.00
11060,pink morsel,2019-03-08,north,$1521.00
11061,pink morsel,2019-03-08,south,$1782.00
11062,pink morsel,2019-03-08,east,$1617.00
11063,pink morsel,2019-03-08,west,$1797.00
11088,pink morsel,2019-03-09,north,$1533.00
11089,pink morsel,2019-03-09,south,$1749.00
11090,pink morsel,2019-03-09,east,$1656.00
11091,pink morsel,2019-03-09,west,$1644.00
11116,pink morsel,2019-03-10,north,$1545.00
11117,pink morsel,2019-03-10,south,$1776.00
11118,pink morsel,2019-03-10,east,$1650.00
11119,pink morsel,2019-03-10,west,$1737.00
11144,pink morsel,2019-03-11,north,$1659.00
11145,pink morsel,2019-03-11,south,$1722.00
11146,pink morsel,2019-03-11,east,$1689.00
11147,pink morsel,2019-03-11,west,$1692.00
11172,pink morsel,2019-03-12,north,$1518.00
11173,pink morsel,2019-03-12,south,$1581.00
11174,pink morsel,2019-03-12,east,$1626.00
11175,pink morsel,2019-03-12,west,$1668.00
11200,pink morsel,2019-03-13,north,$1524.00
11201,pink morsel,2019-03-13,south,$1797.00
11202,pink morsel,2019-03-13,east,$1542.00
11203,pink morsel,2019-03-13,west,$1653.00
11228,pink morsel,2019-03-14,north,$1677.00
11229,pink morsel,2019-03-14,south,$1524.00
11230,pink morsel,2019-03-14,east,$1692.00
11231,pink morsel,2019-03-14,west,$1704.00
11256,pink morsel,2019-03-15,north,$1647.00
11257,pink morsel,2019-03-15,south,$1671.00
11258,pink morsel,2019-03-15,east,$1563.00
11259,pink morsel,2019-03-15,west,$1650.00
11284,pink morsel,2019-03-16,north,$1563.00
11285,pink morsel,2019-03-16,south,$1680.00
11286,pink morsel,2019-03-16,east,$1728.00
11287,pink morsel,2019-03-16,west,$1680.00
11312,pink morsel,2019-03-17,north,$1683.00
11313,pink morsel,2019-03-17,south,$1638.00
11314,pink morsel,2019-03-17,east,$1545.00
11315,pink morsel,2019-03-17,west,$1671.00
11340,pink morsel,2019-03-18,north,$1701.00
11341,pink morsel,2019-03-18,south,$1515.00
11342,pink morsel,2019-03-18,east,$1764.00
11343,pink morsel,2019-03-18,west,$1668.00
11368,pink morsel,2019-03-19,north,$1677.00
11369,pink morsel,2019-03-19,south,$1752.00
11370,pink morsel,2019-03-19,east,$1635.00
11371,pink morsel,2019-03-19,west,$1605.00
11396,pink morsel,2019-03-20,north,$1635.00
11397,pink morsel,2019-03-20,south,$1596.00
11398,pink morsel,2019-03-20,east,$1608.00
11399,pink morsel,2019-03-20,west,$1779.00
11424,pink morsel,2019-03-21,north,$1776.00
11425,pink morsel,2019-03-21,south,$1635.00
11426,pink morsel,2019-03-21,east,$1791.00
11427,pink morsel,2019-03-21,west,$1779.00
11452,pink morsel,2019-03-22,north,$1746.00
11453,pink morsel,2019-03-22,south,$1545.00
11454,pink morsel,2019-03-22,east,$1767.00
11455,pink morsel,2019-03-22,west,$1731.00
11480,pink morsel,2019-03-23,north,$1734.00
11481,pink morsel,2019-03-23,south,$1509.00
11482,pink morsel,2019-03-23,east,$1686.00
11483,pink morsel,2019-03-23,west,$1797.00
11508,pink morsel,2019-03-24,north,$1566.00
11509,pink morsel,2019-03-24,south,$1557.00
11510,pink morsel,2019-03-24,east,$1797.00
11511,pink morsel,2019-03-24,west,$1755.00
11536,pink morsel,2019-03-25,north,$1650.00
11537,pink morsel,2019-03-25,south,$1500.00
11538,pink morsel,2019-03-25,east,$1554.00
11539,pink morsel,2019-03-25,west,$1734.00
11564,pink morsel,2019-03-26,north,$1701.00
11565,pink morsel,2019-03-26,south,$1782.00
11566,pink morsel,2019-03-26,east,$1797.00
11567,pink morsel,2019-03-26,west,$1557.00
11592,pink morsel,2019-03-27,north,$1668.00
11593,pink morsel,2019-03-27,south,$1575.00
11594,pink morsel,2019-03-27,east,$1608.00
11595,pink morsel,2019-03-27,west,$1527.00
11620,pink morsel,2019-03-28,north,$1518.00
11621,pink morsel,2019-03-28,south,$1509.00
11622,pink morsel,2019-03-28,east,$1767.00
11623,pink morsel,2019-03-28,west,$1557.00
11648,pink morsel,2019-03-29,north,$1605.00
11649,pink morsel,2019-03-29,south,$1686.00
11650,pink morsel,2019-03-29,east,$1656.00
11651,pink morsel,2019-03-29,west,$1653.00
11676,pink morsel,2019-03-30,north,$1722.00
11677,pink morsel,2019-03-30,south,$1593.00
11678,pink morsel,2019-03-30,east,$1557.00
11679,pink morsel,2019-03-30,west,$1710.00
11704,pink morsel,2019-03-31,north,$1785.00
11705,pink morsel,2019-03-31,south,$1710.00
11706,pink morsel,2019-03-31,east,$1653.00
11707,pink morsel,2019-03-31,west,$1572.00
11732,pink morsel,2019-04-01,north,$1512.00
11733,pink morsel,2019-04-01,south,$1794.00
11734,pink morsel,2019-04-01,east,$1569.00
11735,pink morsel,2019-04-01,west,$1608.00
11760,pink morsel,2019-04-02,north,$1623.00
11761,pink morsel,2019-04-02,south,$1791.00
11762,pink morsel,2019-04-02,east,$1785.00
11763,pink morsel,2019-04-02,west,$1629.00
11788,pink morsel,2019-04-03,north,$1539.00
11789,pink morsel,2019-04-03,south,$1626.00
11790,pink morsel,2019-04-03,east,$1695.00
11791,pink morsel,2019-04-03,west,$1518.00
11816,pink morsel,2019-04-04,north,$1530.00
11817,pink morsel,2019-04-04,south,$1683.00
11818,pink morsel,2019-04-04,east,$1662.00
11819,pink morsel,2019-04-04,west,$1632.00
11844,pink morsel,2019-04-05,north,$1614.00
11845,pink morsel,2019-04-05,south,$1605.00
11846,pink morsel,2019-04-05,east,$1662.00
11847,pink morsel,2019-04-05,west,$1713.00
11872,pink morsel,2019-04-06,north,$1749.00
11873,pink morsel,2019-04-06,south,$1713.00
11874,pink morsel,2019-04-06,east,$1716.00
11875,pink morsel,2019-04-06,west,$1557.00
11900,pink morsel,2019-04-07,north,$1605.00
11901,pink morsel,2019-04-07,south,$1635.00
11902,pink morsel,2019-04-07,east,$1518.00
11903,pink morsel,2019-04-07,west,$1632.00
11928,pink morsel,2019-04-08,north,$1713.00
11929,pink morsel,2019-04-08,south,$1779.00
11930,pink morsel,2019-04-08,east,$1743.00
11931,pink morsel,2019-04-08,west,$1575.00
11956,pink morsel,2019-04-09,north,$1728.00
11957,pink morsel,2019-04-09,south,$1719.00
11958,pink morsel,2019-04-09,east,$1755.00
11959,pink morsel,2019-04-09,west,$1617.00
11984,pink morsel,2019-04-10,north,$1542.00
11985,pink morsel,2019-04-10,south,$1626.00
11986,pink morsel,2019-04-10,east,$1509.00
11987,pink morsel,2019-04-10,west,$1638.00
12012,pink morsel,2019-04-11,north,$1581.00
12013,pink morsel,2019-04-11,south,$1680.00
12014,pink morsel,2019-04-11,east,$1569.00
12015,pink morsel,2019-04-11,west,$1635.00
12040,pink morsel,2019-04-12,north,$1539.00
12041,pink morsel,2019-04-12,south,$1587.00
12042,pink morsel,2019-04-12,east,$1593.00
12043,pink morsel,2019-04-12,west,$1581.00
12068,pink morsel,2019-04-13,north,$1515.00
12069,pink morsel,2019-04-13,south,$1611.00
12070,pink morsel,2019-04-13,east,$1644.00
12071,pink morsel,2019-04-13,west,$1794.00
12096,pink morsel,2019-04-14,north,$1500.00
12097,pink morsel,2019-04-14,south,$1737.00
12098,pink morsel,2019-04-14,east,$1722.00
12099,pink morsel,2019-04-14,west,$1764.00
12124,pink morsel,2019-04-15,north,$1530.00
12125,pink morsel,2019-04-15,south,$1602.00
12126,pink morsel,2019-04-15,east,$1524.00
12127,pink morsel,2019-04-15,west,$1770.00
12152,pink morsel,2019-04-16,north,$1596.00
12153,pink morsel,2019-04-16,south,$1668.00
12154,pink morsel,2019-04-16,east,$1584.00
12155,pink morsel,2019-04-16,west,$1713.00
12180,pink morsel,2019-04-17,north,$1569.00
12181,pink morsel,2019-04-17,south,$1686.00
12182,pink morsel,2019-04-17,east,$1647.00
12183,pink morsel,2019-04-17,west,$1509.00
12208,pink morsel,2019-04-18,north,$1590.00
12209,pink morsel,2019-04-18,south,$1650.00
12210,pink morsel,2019-04-18,east,$1557.00
12211,pink morsel,2019-04-18,west,$1575.00
12236,pink morsel,2019-04-19,north,$1773.00
12237,pink morsel,2019-04-19,south,$1629.00
12238,pink morsel,2019-04-19,east,$1524.00
12239,pink morsel,2019-04-19,west,$1512.00
12264,pink morsel,2019-04-20,north,$1521.00
12265,pink morsel,2019-04-20,south,$1653.00
12266,pink morsel,2019-04-20,east,$1584.00
12267,pink morsel,2019-04-20,west,$1713.00
12292,pink morsel,2019-04-21,north,$1683.00
12293,pink morsel,2019-04-21,south,$1749.00
12294,pink morsel,2019-04-21,east,$1545.00
12295,pink morsel,2019-04-21,west,$1629.00
12320,pink morsel,2019-04-22,north,$1533.00
12321,pink morsel,2019-04-22,south,$1587.00
12322,pink morsel,2019-04-22,east,$1671.00
12323,pink morsel,2019-04-22,west,$1650.00
12348,pink morsel,2019-04-23,north,$1668.00
12349,pink morsel,2019-04-23,south,$1674.00
12350,pink morsel,2019-04-23,east,$1728.00
12351,pink morsel,2019-04-23,west,$1518.00
12376,pink morsel,2019-04-24,north,$1554.00
12377,pink morsel,2019-04-24,south,$1719.00
12378,pink morsel,2019-04-24,east,$1746.00
12379,pink morsel,2019-04-24,west,$1665.00
12404,pink morsel,2019-04-25,north,$1503.00
12405,pink morsel,2019-04-25,south,$1692.00
12406,pink morsel,2019-04-25,east,$1725.00
12407,pink morsel,2019-04-25,west,$1764.00
12432,pink morsel,2019-04-26,north,$1710.00
12433,pink morsel,2019-04-26,south,$1635.00
12434,pink morsel,2019-04-26,east,$1764.00
12435,pink morsel,2019-04-26,west,$1758.00
12460,pink morsel,2019-04-27,north,$1740.00
12461,pink morsel,2019-04-27,south,$1776.00
12462,pink morsel,2019-04-27,east,$1740.00
12463,pink morsel,2019-04-27,west,$1620.00
12488,pink morsel,2019-04-28,north,$1566.00
12489,pink morsel,2019-04-28,south,$1704.00
12490,pink morsel,2019-04-28,east,$1578.00
12491,pink morsel,2019-04-28,west,$1503.00
12516,pink morsel,2019-04-29,north,$1602.00
12517,pink morsel,2019-04-29,south,$1791.00
12518,pink morsel,2019-04-29,east,$1752.00
12519,pink morsel,2019-04-29,west,$1800.00
12544,pink morsel,2019-04-30,north,$1719.00
12545,pink morsel,2019-04-30,south,$1767.00
12546,pink morsel,2019-04-30,east,$1500.00
12547,pink morsel,2019-04-30,west,$1623.00
12572,pink morsel,2019-05-01,north,$1665.00
12573,pink morsel,2019-05-01,south,$1800.00
12574,pink morsel,2019-05-01,east,$1731.00
12575,pink morsel,2019-05-01,west,$1542.00
12600,pink morsel,2019-05-02,north,$1575.00
12601,pink morsel,2019-05-02,south,$1548.00
12602,pink morsel,2019-05-02,east,$1797.00
12603,pink morsel,2019-05-02,west,$1521.00
12628,pink morsel,2019-05-03,north,$1560.00
12629,pink morsel,2019-05-03,south,$1521.00
12630,pink morsel,2019-05-03,east,$1605.00
12631,pink morsel,2019-05-03,west,$1740.00
12656,pink morsel,2019-05-04,north,$1617.00
12657,pink morsel,2019-05-04,south,$1743.00
12658,pink morsel,2019-05-04,east,$1629.00
12659,pink morsel,2019-05-04,west,$1749.00
12684,pink morsel,2019-05-05,north,$1512.00
12685,pink morsel,2019-05-05,south,$1746.00
12686,pink morsel,2019-05-05,east,$1530.00
12687,pink morsel,2019-05-05,west,$1611.00
12712,pink morsel,2019-05-06,north,$1569.00
12713,pink morsel,2019-05-06,south,$1689.00
12714,pink morsel,2019-05-06,east,$1557.00
12715,pink morsel,2019-05-06,west,$1560.00
12740,pink morsel,2019-05-07,north,$1650.00
12741,pink morsel,2019-05-07,south,$1695.00
12742,pink morsel,2019-05-07,east,$1620.00
12743,pink morsel,2019-05-07,west,$1644.00
12768,pink morsel,2019-05-08,north,$1800.00
12769,pink morsel,2019-05-08,south,$1515.00
12770,pink morsel,2019-05-08,east,$1785.00
12771,pink morsel,2019-05-08,west,$1650.00
12796,pink morsel,2019-05-09,north,$1797.00
12797,pink morsel,2019-05-09,south,$1641.00
12798,pink morsel,2019-05-09,east,$1665.00
12799,pink morsel,2019-05-09,west,$1767.00
12824,pink morsel,2019-05-10,north,$1500.00
12825,pink morsel,2019-05-10,south,$1788.00
12826,pink morsel,2019-05-10,east,$1725.00
12827,pink morsel,2019-05-10,west,$1557.00
12852,pink morsel,2019-05-11,north,$1503.00
12853,pink morsel,2019-05-11,south,$1518.00
12854,pink morsel,2019-05-11,east,$1650.00
